,name,image,acreage,price,region,tags,scrape_date
236,Kythnos Island parcel,https://www.privateislandsonline.com/uploads/resize/_1855_image_85bab6120c.jpg-1074-822.jpg,187,2900000.0,"Greece, Europe","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
237,South Pimlico Island,https://www.privateislandsonline.com/uploads/resize/_2819_5f2af4c808403.jpg-1074-822.jpg,65,3200000.0,"Eleuthera, Bahamas, Caribbean","Large Acreage,Ocean Island",2023-02-19
238,Isla Cui Cui,https://www.privateislandsonline.com/uploads/resize/_2588_5cdafe74c8bbd.jpg-1074-822.jpg,30,3200000.0,"Chile, South America","Large Acreage,Lake Island,Turn Key,Income Potential",2023-02-19
239,Isla Lacao,https://www.privateislandsonline.com/uploads/resize/_2590_5cdaf626badc6.jpg-1074-822.jpg,206,3200000.0,"Chile, South America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
241,Basin Island,https://www.privateislandsonline.com/uploads/resize/_116_image_99754926db.jpg-1074-822.jpg,26,3200000.0,"Wisconsin, United States",,2023-02-19
242,Loud Island,https://www.privateislandsonline.com/uploads/resize/_2488_5b96da42b7c18.jpeg-1074-822.jpeg,30,3200000.0,"Michigan, United States","Large Acreage,Lake Island,Turn Key,Historic,Income Potential,Mainland Lot",2023-02-19
243,4-acre Private Island near Invermere,https://www.privateislandsonline.com/uploads/resize/_2911_60afcc1403480.jpg-1074-822.jpg,4,4000000.0,"British Columbia, Canada","Lake Island,Turn Key,Income Potential",2023-02-19
248,Tiger Point,https://www.privateislandsonline.com/uploads/resize/_2876_60243eed4d074.jpg-1074-822.jpg,359,3000000.0,"Belize, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
249,Sandy Cay,https://www.privateislandsonline.com/uploads/resize/_2915_60ca2a54b77d2.jpg-1074-822.jpg,7,3000000.0,"Bahamas, Caribbean","Islands with Beaches,Ocean Island",2023-02-19
250,Islas Marias,https://www.privateislandsonline.com/uploads/resize/_663_image_c640d4768a.jpg-1074-822.jpg,27,3000000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
254,Kadomo Island,https://www.privateislandsonline.com/uploads/resize/_1931_5be45c3e66480.JPG-1074-822.JPG,70,2980000.0,"Fiji, South Pacific","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
255,Sea Palms Beachfront Villa,https://www.privateislandsonline.com/uploads/resize/_2851_5fa30de8d97b4.jpg-1074-822.jpg,,2950000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Turn Key,Income Potential",2023-02-19
256,Whiskey Island,https://www.privateislandsonline.com/uploads/resize/_1588_5870302a418c5.jpg-1074-822.jpg,3,2950000.0,"New York, United States","River Island,Turn Key,Income Potential",2023-02-19
257,Indigo Breeze Estate,https://www.privateislandsonline.com/uploads/resize/_3012_6269b2c3ce362.jpg-1074-822.jpg,2,2950000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
